"","City","AQI","Date"
"669","Chandigarh","34",2020-06-24
"670","Chennai","110",2020-06-24
"671","Delhi","66",2020-06-24
"672","Ernakulam","108",2020-06-24
"673","Gurugram","77",2020-06-24
"674","Guwahati","36",2020-06-24
"675","Hyderabad","50",2020-06-24
"676","Jaipur","62",2020-06-24
"677","Jorapokhar","82",2020-06-24
"678","Kochi","98",2020-06-24
"679","Kolkata","51",2020-06-24
"680","Lucknow","87",2020-06-24
"681","Mumbai","33",2020-06-24
"682","Patna","68",2020-06-24
"683","Shillong","27",2020-06-24
"684","Talcher","42",2020-06-24
"685","Thiruvananthapuram","72",2020-06-24
"686","Ahmedabad","78",2020-06-25
"687","Aizawl","33",2020-06-25
"688","Amaravati","49",2020-06-25
"689","Amritsar","54",2020-06-25
"690","Bengaluru","44",2020-06-25
"691","Bhopal","50",2020-06-25
"692","Chandigarh","34",2020-06-25
"693","Chennai","88",2020-06-25
"694","Delhi","85",2020-06-25
"695","Ernakulam","104",2020-06-25
"696","Gurugram","92",2020-06-25
"697","Guwahati","32",2020-06-25
"698","Hyderabad","46",2020-06-25
"699","Jaipur","58",2020-06-25
"700","Jorapokhar","91",2020-06-25
"701","Kochi","79",2020-06-25
"702","Kolkata","45",2020-06-25
"703","Lucknow","114",2020-06-25
"704","Mumbai","36",2020-06-25
"705","Patna","82",2020-06-25
"706","Shillong","17",2020-06-25
"707","Talcher","47",2020-06-25
"708","Thiruvananthapuram","55",2020-06-25
"709","Ahmedabad","71",2020-06-26
"710","Aizawl","11",2020-06-26
"711","Amaravati","32",2020-06-26
"712","Amritsar","123",2020-06-26
"713","Bengaluru","40",2020-06-26
"714","Bhopal","48",2020-06-26
"715","Chandigarh","57",2020-06-26
"716","Chennai","84",2020-06-26
"717","Delhi","105",2020-06-26
"718","Ernakulam","102",2020-06-26
"719","Gurugram","128",2020-06-26
"720","Guwahati","27",2020-06-26
"721","Hyderabad","50",2020-06-26
"722","Jaipur","178",2020-06-26
"723","Jorapokhar","97",2020-06-26
"724","Kochi","78",2020-06-26
"725","Kolkata","36",2020-06-26
"726","Lucknow","72",2020-06-26
"727","Mumbai","42",2020-06-26
"728","Patna","56",2020-06-26
"729","Talcher","53",2020-06-26
"730","Thiruvananthapuram","36",2020-06-26
"731","Visakhapatnam","36",2020-06-26
"732","Amaravati","43",2020-06-27
"733","Amritsar","85",2020-06-27
"734","Bengaluru","35",2020-06-27
"735","Bhopal","61",2020-06-27
"736","Chandigarh","74",2020-06-27
"737","Chennai","82",2020-06-27
"738","Delhi","108",2020-06-27
"739","Ernakulam","106",2020-06-27
"740","Gurugram","104",2020-06-27
"741","Guwahati","30",2020-06-27
"742","Hyderabad","54",2020-06-27
"743","Jaipur","78",2020-06-27
"744","Jorapokhar","135",2020-06-27
"745","Kochi","76",2020-06-27
"746","Kolkata","30",2020-06-27
"747","Lucknow","72",2020-06-27
"748","Mumbai","50",2020-06-27
"749","Patna","64",2020-06-27
"750","Shillong","31",2020-06-27
"751","Talcher","76",2020-06-27
"752","Thiruvananthapuram","36",2020-06-27
"753","Visakhapatnam","43",2020-06-27
"754","Ahmedabad","58",2020-06-28
"755","Aizawl","6",2020-06-28
"756","Amaravati","47",2020-06-28
"757","Bengaluru","46",2020-06-28
"758","Bhopal","47",2020-06-28
"759","Chandigarh","75",2020-06-28
"760","Chennai","70",2020-06-28
